"faceName","img1Name","img2Name","img3Name","intactImageLocation","isSeen","response_face_key_response","response_image_key_response"
"Low_Fear_Anger_Right_Male_New.png","Low_Fear_Anger_Right_Male_New.jpeg","Low_Fear_Anger_Right_Male_Intact.png","Low_Fear_Anger_Right_Male_Rearranged.png","2","DOĞRU","j","1"
"Low_Sad_Anger_Left_Fem_Face.png","Low_Sad_Anger_Left_Fem_Rearranged.jpeg","Low_Sad_Anger_Left_Fem_New.jpeg","Low_Sad_Anger_Left_Fem_Intact.png","3","DOĞRU","f","2"
"Low_Sad_Anger_Right_Fem_Face.png","Low_Sad_Anger_Right_Fem_Rearranged.png","Low_Sad_Anger_Right_Fem_New.png","Low_Sad_Anger_Right_Fem_Intact.png","3","DOĞRU","j","2"
"getimg_ai_img-XnOWE9vID1iC0WAHXJYVH_new.png","-","-","-","1","YANLIŞ","j","2"
"getimg_ai_img-rBDgPP0voSPM87N4k4rLo_new.png","-","-","-","1","YANLIŞ","j","2"
"getimg_ai_img-TqDc2xma4ZQDFVuf0b0u7_new.png","-","-","-","1","YANLIŞ","j","2"
"Cong_Anger_Anger_Right_Male_Face.png","Cong_Anger_Anger_Right_Male_Intact.png","Cong_Anger_Anger_Right_Male_Rearranged.png","Cong_Anger_Anger_Right_Male_New.png","1","DOĞRU","j","2"
"getimg_ai_img-seXjYYDUhYUOf64IdflIt_new.png","-","-","-","1","YANLIŞ","f","2"
"Low_Anger_Fear_Left_Fem_Face.png","Low_Anger_Fear_Left_Fem_Rearranged.jpeg","Low_Anger_Fear_Left_Fem_New.png","Low_Anger_Fear_Left_Fem_Intact.jpeg","3","DOĞRU","f","3"
"Cong_Fear_Fear_Right_Male_Face.png","Cong_Fear_Fear_Right_Male_Rearranged.jpeg","Cong_Fear_Fear_Right_Male_Intact.jpeg","Cong_Fear_Fear_Right_Male_New.jpeg","2","DOĞRU","j","3"
"Low_Sad_Anger_Right_Male_Face.png","Low_Sad_Anger_Right_Male_Rearranged.png","Low_Sad_Anger_Right_Male_Intact.png","Low_Sad_Anger_Right_Male_New.jpeg","2","DOĞRU","f","2"
