trial,stimulus,reaction_time,response
1,circle,3.8941869735717773,[1]
2,square,0.4409143924713135,[2]
3,triangle,0.3431549072265625,[3]
4,circle,0.4757654666900635,[2]
5,circle,0.29576659202575684,[1]
6,triangle,0.359813928604126,[2]
7,square,0.2600111961364746,[3]
8,triangle,0.26000022888183594,[2]
9,square,0.27843737602233887,[1]
